"calulation_point","Instantaneous Power","Wind Speed","Wind Direction","Air Temperature","Rotor Speed"
"11-29 00:58",285.2,15.26,242.3,59,25
"11-29 00:59",196,13.42,243.1,60.8,25
"11-29 01:11",124.8,11.5,263.6,60.8,25
"11-29 01:12",270.9,15.57,249.6,60.8,25
"11-29 01:13",202,14.03,241.4,60.8,25
"11-29 01:14",337.5,16.04,245.1,60.8,25
"11-29 01:15",362.2,17.27,247.2,60.8,25
"11-29 01:16",400,17.54,250.6,60.8,25
"11-29 01:17",284.7,15.37,251.2,60.8,25
"11-29 01:18",450.2,20.11,255.6,60.8,25
"11-29 01:19",258.2,14.56,250,60.8,25
"11-29 01:22",312.4,16.42,249.1,60.8,25
"11-29 01:23",450.9,19.37,243.8,60.8,25
"11-29 01:24",420.5,17.81,247.5,60.8,25
"11-29 01:26",719.7,25.61,244.9,60.8,25
"11-29 01:27",587.5,22.79,243.5,60.8,25
"11-29 01:28",230.4,14.36,246.1,60.8,25
"11-29 01:29",376.4,16.69,249.8,60.8,25
"11-29 01:30",381.6,17.49,253.1,60.8,25
"11-29 01:31",488.4,19.64,255.3,60.8,25
"11-29 01:32",414.4,17.49,251.2,60.8,25
"11-29 01:33",389.1,17.16,253.5,60.8,25
"11-29 01:34",382.1,17.92,252.9,60.8,25
"11-29 01:35",449.1,19.37,243,60.8,25
"11-29 01:36",279.6,15.84,246.1,60.8,25
"11-29 01:37",249.6,15.12,250.8,60.8,25
"11-29 01:38",320.6,15.93,260.4,60.8,25
"11-29 01:39",513.9,20.78,251.8,60.8,25
"11-29 01:40",273.6,15.82,249.4,60.8,25
"11-29 01:41",160.3,13.31,255.5,60.8,25
"11-29 01:42",203.4,13.02,254.1,60.8,25
"11-29 01:43",220.5,13.98,257.9,60.8,25
"11-29 01:44",245.5,14.43,254.3,60.8,25
"11-29 01:45",462,18.39,255.3,60.8,25
"11-29 01:46",237.1,14.7,259.7,60.8,25
"11-29 01:47",220.8,14.16,256.6,60.8,25
"11-29 01:48",301.3,16.17,265.3,60.8,25
"11-29 01:49",107,12.03,246.6,60.8,25
"11-29 01:57",216.9,14.79,254.4,60.8,25
"11-29 01:58",206.4,14.09,244.4,60.8,25
"11-29 01:59",298.8,16.08,247.2,59,25
"11-29 02:01",333.5,16.13,247.7,59,25
"11-29 02:02",392.5,18.54,250.9,59,25
"11-29 02:03",322.4,16.37,258.4,59,25
"11-29 02:04",138.4,12.21,258.8,59,25
"11-29 02:05",322,16.67,263.8,60.8,25
"11-29 02:06",460.1,18.81,243.8,59,25
"11-29 02:07",507.4,21.32,259.1,59,25
"11-29 02:08",414.1,18.88,264.7,59,25
"11-29 02:09",259.6,15.01,259.4,59,25
"11-29 02:10",479.6,19.1,258,59,25
"11-29 02:11",448.1,20.02,246.8,59,25
"11-29 02:12",491.9,20.18,250.6,59,25
"11-29 02:13",446.2,18.83,254.6,59,25
"11-29 02:14",177.4,12.33,261.3,59,25
"11-29 02:15",266.9,14.43,256.9,59,25
"11-29 02:16",520.2,21.43,263.4,59,25
"11-29 02:17",399.7,17.43,264.7,59,25
"11-29 02:18",358.4,16.96,237.5,59,25
"11-29 02:19",210,14.81,254.1,59,25
"11-29 02:29",328.8,17.92,254.4,59,25
"11-29 02:40",308.9,14.32,262.4,59,25
"11-29 02:41",320.4,17.18,263.3,59,25
"11-29 02:42",289.7,15.61,262.3,59,25
"11-29 02:43",229.5,14.58,262.4,59,25
"11-29 02:44",227.7,13.91,259.5,59,25
"11-29 02:45",281.7,14.99,249.6,59,25
"11-29 02:46",441.7,17.9,262.5,59,25
"11-29 02:47",517.7,20.8,256.7,59,25
"11-29 02:48",258.8,14.99,263.9,59,25
"11-29 02:49",161.4,13.06,267,59,25
"11-29 02:50",173.2,12.35,256.5,59,25
"11-29 02:51",147.1,12.37,267.6,59,25
"11-29 02:52",233.5,14.25,262.2,59,25
"11-29 02:53",284.3,14.99,269.3,59,25
"11-29 02:54",148.7,13.24,271.6,59,25
"11-29 02:55",123.2,11.39,259.9,59,25
"11-29 02:56",260.7,14.97,260.3,59,25
"11-29 02:57",308.9,15.97,261.2,59,25
"11-29 02:58",280,14.7,272.2,59,25
"11-29 02:59",299.3,15.05,255.1,59,25
"11-29 03:00",385.8,16.98,255.1,59,25
"11-29 03:01",363.9,18.61,253.5,59,25
"11-29 03:02",69.6,9.46,263.3,59,25
"11-29 03:03",238.9,13.85,260.4,59,25
"11-29 03:04",147.1,12.59,258,59,25
"11-29 03:05",315.3,16.46,257.5,59,25
"11-29 03:06",185.4,12.71,267.9,59,25
"11-29 03:07",236.9,14.2,254.3,59,25
"11-29 03:08",271.4,14.79,261.9,59,25
"11-29 03:09",259.9,15.39,269,59,25
"11-29 03:10",157.3,12.12,268.9,59,25
"11-29 03:11",252.5,14.32,261.6,59,25
"11-29 03:12",121,11.43,270.3,59,25
"11-29 03:13",144.3,11.56,269.7,59,25
"11-29 03:14",291.7,15.19,262.5,59,25
"11-29 03:15",113.5,11.56,274,59,25
"11-29 03:16",225.3,13.4,267.8,59,25
"11-29 03:17",90.9,11.41,254.8,59,25
"11-29 03:18",72,9.84,256.5,59,25
"11-29 03:19",112.5,12.19,263.3,59,25
"11-29 03:20",103,10.09,271.7,59,25
"11-29 03:21",203.4,12.41,266.2,59,25
"11-29 03:22",208.3,13.85,261,59,25
"11-29 03:23",80.4,10.36,266.7,59,25
"11-29 03:24",236.6,14.09,267.1,59,25
"11-29 03:27",181.3,13.58,262.7,57.2,25
"11-29 03:28",42.6,8.88,269.5,59,25
"11-29 03:29",40.5,8.21,269.9,59,25
"11-29 03:30",140.6,11.97,260,59,25
"11-29 03:31",120.2,11.92,268.2,59,25
"11-29 03:32",224.9,12.82,268.6,59,25
"11-29 03:33",212.6,13.4,264,57.2,25
"11-29 03:34",162.3,12.73,271.4,57.2,25
"11-29 03:35",84.7,10.22,266.2,59,25
"11-29 03:36",71.2,9.91,264.2,59,25
"11-29 03:37",64.2,9.78,266.8,57.2,25
"11-29 03:38",100,11.18,272,59,25
"11-29 03:39",113.7,11.81,269.4,59,25
"11-29 03:58",123.5,11.18,295.7,57.2,25
"11-29 03:59",193.3,13.38,277,57.2,25
"11-29 04:00",228.5,12.48,290.1,57.2,25
"11-29 04:01",187.6,14.32,284.2,57.2,25
"11-29 04:02",163.6,12.53,294.1,57.2,25
"11-29 04:03",198.6,13.56,284.2,57.2,25
"11-29 04:04",154.6,12.44,280,57.2,25
"11-29 04:05",90.9,10.42,268.1,57.2,25
"11-29 04:06",77.9,10.31,256.6,57.2,25
"11-29 04:07",25.7,8.72,280.7,57.2,25
"11-29 04:08",29.5,7.94,278.4,57.2,25
"11-29 04:09",12.1,7.52,279.2,57.2,25
"11-29 04:10",35.1,11.83,282.3,57.2,19.8
"11-29 04:11",100.2,11.03,269.9,57.2,16.1
"11-29 04:12",74.4,12.95,278.1,57.2,17.1
"11-29 04:13",61,11.72,282.3,55.4,23.7
"11-29 04:14",206.3,13.6,288.4,57.2,25
"11-29 04:24",122.4,11.25,293.9,57.2,25
"11-29 04:27",478.8,19.69,294.9,55.4,25
"11-29 04:28",318,15.84,299,55.4,25
"11-29 04:29",254.7,14.45,276.9,55.4,25
"11-29 04:30",353.3,16.78,284.7,55.4,25
"11-29 04:31",306.3,15.05,283.8,55.4,25
"11-29 04:32",251.3,14.61,283.2,55.4,25
"11-29 04:33",372.7,16.96,284.1,55.4,25
"11-29 04:34",139.9,12.77,285.4,53.6,25
"11-29 04:35",197,13.02,283.1,53.6,25
"11-29 04:36",230.9,14.27,286.9,55.4,25
"11-29 04:37",71.9,10.87,299.7,53.6,25
"11-29 04:38",129.3,11.5,298.4,55.4,25
"11-29 04:39",437.3,18.86,285.2,53.6,25
"11-29 04:45",166.1,12.53,297,53.6,25
"11-29 04:46",75.4,9.84,292.5,53.6,25
"11-29 04:47",117.3,10.33,287,53.6,25
"11-29 04:48",225.5,13.91,288.3,53.6,25
"11-29 04:49",155.4,12.75,287.6,53.6,25
"11-29 04:50",196.8,13.87,283.2,53.6,25
"11-29 04:51",97.2,10.76,288.5,53.6,25
"11-29 04:52",150.6,11.18,290.3,53.6,25
"11-29 04:53",187.1,12.68,285.1,53.6,25
"11-29 04:54",96.7,10.42,295.3,53.6,25
"11-29 04:55",128.1,11.79,290.2,53.6,25
"11-29 04:56",119.6,11.25,285.2,53.6,25
"11-29 04:57",29.1,8.72,274.5,53.6,25
"11-29 04:58",40.6,8.14,286.5,53.6,25
"11-29 04:59",36.4,6.71,293.9,53.6,25
"11-29 05:00",140.4,11.23,288.3,53.6,25
"11-29 05:01",98.3,9.8,295.3,53.6,25
"11-29 05:02",118.5,10.87,289.9,53.6,25
"11-29 05:03",51.8,9.44,290.3,53.6,25
"11-29 05:04",61.1,9.13,295.1,53.6,25
"11-29 05:05",143.6,11.7,292.7,53.6,25
"11-29 05:06",92.8,10.27,286.9,53.6,25
"11-29 05:07",12.3,6.11,287,53.6,25
"11-29 05:08",13.1,6.93,280.2,53.6,25
"11-29 05:09",9.5,7.02,285.5,53.6,25
"11-29 05:10",46.4,8.46,288.9,53.6,25
"11-29 05:11",9.5,6.6,276.1,53.6,25
"11-29 05:12",61.6,9.37,285,53.6,25
"11-29 05:13",98.4,10.16,286.2,53.6,25
"11-29 05:14",50.4,8.84,294.1,53.6,25
"11-29 05:15",24.8,8.08,282.2,53.6,25
"11-29 05:16",18.7,7.47,280.5,53.6,25
"11-29 05:17",62,9.22,281.5,53.6,25
"11-29 05:18",206.8,13.27,281.1,51.8,25
"11-29 05:19",135.5,11.9,279.4,51.8,25
"11-29 05:21",87.5,10.58,286.8,51.8,25
"11-29 05:22",83.1,9.4,285.5,53.6,25
"11-29 05:23",174.7,12.37,280.1,51.8,25
"11-29 05:24",86.4,10.42,291.3,51.8,25
"11-29 05:25",113,10.25,277.7,51.8,25
"11-29 05:26",138.6,12.15,282.6,51.8,25
"11-29 05:27",132,11.63,283.3,51.8,25
"11-29 05:28",77.7,9.06,286.7,51.8,25
"11-29 05:29",90.6,10.45,282.7,51.8,25
"11-29 05:30",91.7,10.25,292.6,51.8,25
"11-29 05:31",120.9,11.65,287.7,51.8,25
"11-29 05:32",81.8,10.11,284.1,51.8,25
"11-29 05:33",92,11.01,282.1,51.8,25
"11-29 05:34",77.1,9.17,283,51.8,25
"11-29 05:35",95.4,11.03,287.2,51.8,25
"11-29 05:36",26.9,7.74,275.8,51.8,25
"11-29 05:37",57.9,9.46,280.6,51.8,25
"11-29 05:38",12.1,8.52,285.1,51.8,24
"11-29 05:39",95.1,10.71,276.2,51.8,16
"11-29 05:40",108.9,10.51,279.7,51.8,16.1
"11-29 05:41",79.5,13.31,285.1,51.8,17.1
"11-29 05:42",30.6,14.38,282.1,51.8,23.6
"11-29 05:43",103.7,10.74,290.7,51.8,25
"11-29 05:44",71,9.95,282.2,51.8,25
"11-29 05:45",115.9,10.78,292.3,51.8,25
"11-29 05:46",77.6,9.01,276.1,51.8,25
"11-29 05:47",78,9.98,290.9,51.8,25
"11-29 05:48",97.4,10.6,282.2,51.8,25
"11-29 05:49",66,9.73,286.8,51.8,25
"11-29 06:11",41.3,9.46,287.3,51.8,25
"11-29 06:12",188.3,12.59,282.3,50,25
"11-29 06:13",163.8,12.55,282.9,50,25
"11-29 06:14",123.5,11.05,285.1,51.8,25
"11-29 06:15",158.8,11.92,282,50,25
"11-29 06:16",29,8.72,299.1,50,25
"11-29 06:17",242.4,14.03,280.1,51.8,25
"11-29 06:18",124.8,11.3,278.2,50,25
"11-29 06:19",57.3,9.1,280.8,50,25
"11-29 06:21",52.8,8.5,301,50,25
"11-29 06:22",46.4,9.26,283.7,50,25
"11-29 06:23",57.3,8.34,286.2,50,25
"11-29 06:24",79.8,9.98,282.3,50,25
"11-29 06:25",106.5,10.36,278.4,50,25
"11-29 06:26",84.6,9.95,285.2,50,25
"11-29 06:27",111,11.03,282.7,50,25
"11-29 06:28",49.8,8.3,290.7,50,25
"11-29 06:29",51.8,8.79,286.8,50,25
"11-29 06:30",147.6,11.36,290.4,50,25
"11-29 06:31",122.9,11.12,295.2,50,25
"11-29 06:32",67,9.75,290.2,50,25
"11-29 06:33",118.3,10.83,289.1,50,25
"11-29 06:34",73.9,10.02,292.3,50,25
"11-29 06:35",85.3,10.04,289.8,50,25
"11-29 06:36",118.7,10.98,288,50,25
"11-29 06:37",103.2,10.67,292,50,25
"11-29 06:38",83.1,9.86,289.1,50,25
"11-29 06:39",46.9,8.37,295,50,25
"11-29 06:40",53,8.72,285.9,50,25
"11-29 06:41",45.6,8.61,288.1,50,25
"11-29 06:42",49.4,8.88,291.8,50,25
"11-29 06:43",53.5,8.9,289.8,50,25
"11-29 06:44",87.8,10,284.8,50,25
"11-29 06:46",64.2,8.86,289.1,50,25
"11-29 06:47",66.9,9.44,288,50,25
"11-29 06:48",63.3,9.57,287.5,50,25
"11-29 06:49",81.5,9.98,293.7,50,25
"11-29 06:55",68.3,9.1,287.6,50,25
"11-29 06:56",54.7,9.46,290.9,50,25
"11-29 06:57",52.3,9.1,286.6,50,25
"11-29 06:58",26.5,7.99,287.7,50,25
"11-29 06:59",57,9.04,290.9,50,25
"11-29 07:00",147.3,10.98,287,50,25
"11-29 07:01",108.8,10.51,283.4,50,25
"11-29 07:02",178,12.41,283.4,50,25
"11-29 07:03",126.2,12.19,296.5,50,25
"11-29 07:04",195.3,13.73,285.6,50,25
"11-29 07:06",113,9.19,294.6,50,25
"11-29 07:07",129.6,11.3,284.2,50,25
"11-29 07:08",107.2,10.69,290.1,50,25
"11-29 07:09",63.7,9.31,286.9,50,25
"11-29 07:10",110,10.76,290.8,50,25
"11-29 07:11",75.6,10.11,295.6,50,25
"11-29 07:12",92.7,9.98,290.8,50,25
"11-29 07:13",199.8,13.09,286.1,50,25
"11-29 07:14",172.1,12.91,287.7,50,25
"11-29 07:15",168.7,12.5,292.8,50,25
"11-29 07:16",189.9,12.57,285.9,50,25
"11-29 07:17",144.6,11.72,286.9,48.2,25
"11-29 07:18",91.7,10.36,283.3,50,25
"11-29 07:19",59.3,9.53,294,50,25
"11-29 07:20",107.7,11.05,278.5,48.2,25
"11-29 07:21",35.8,8.81,289.5,50,25
"11-29 07:22",176.9,12.95,288.2,48.2,25
"11-29 07:23",84.6,10.74,287.3,48.2,25
"11-29 07:24",57.2,8.55,289.6,50,25
"11-29 07:25",137.8,11.18,285.5,48.2,25
"11-29 07:26",70.1,9.13,279.9,48.2,25
"11-29 07:27",130.5,11.12,288.4,48.2,25
"11-29 07:28",121.3,11.92,280.3,48.2,25
"11-29 07:29",89.8,10.33,284.3,48.2,25
"11-29 07:42",90.4,9.64,287.2,48.2,25
"11-29 07:43",41.7,8.52,293,48.2,25
"11-29 07:44",59.9,9.08,290.6,48.2,25
"11-29 07:45",56,9.17,287.2,48.2,25
"11-29 07:46",26.3,7.45,291.7,48.2,25
"11-29 07:47",90.4,10.02,291.3,48.2,25
"11-29 07:48",155.5,12.26,290.3,48.2,25
"11-29 07:49",98.8,10.42,293,48.2,25
"11-29 07:50",90,10.25,300.8,48.2,25
"11-29 07:51",46.9,8.86,291.5,48.2,25
"11-29 07:52",5.3,5.55,292.1,48.2,24.9
"11-29 07:53",26.5,7.36,283.7,48.2,16.2
"11-29 07:54",80.2,8.79,297.2,48.2,16.1
"11-29 07:55",98.2,10.69,288,48.2,16.1
"11-29 07:56",29,6.58,296,48.2,16
"11-29 07:57",77,8.7,293.5,48.2,16.1
"11-29 07:58",61.3,8.75,289,48.2,16
"11-29 07:59",29.9,7.45,290.8,48.2,16
"11-29 08:00",61.6,8.03,297.9,48.2,16
"11-29 08:01",103.3,11.5,291.3,48.2,16
"11-29 08:02",66.9,8.99,299.7,48.2,16
"11-29 08:03",51.7,8.43,297.3,48.2,16
"11-29 08:04",68.6,9.01,295.5,48.2,16
"11-29 08:05",72.4,9.06,298.1,48.2,16
"11-29 08:06",64.3,8.39,290.3,48.2,16.1
"11-29 08:07",25.8,6.76,285.2,48.2,16
"11-29 08:08",60.6,8.63,301.3,48.2,16
"11-29 08:09",65.7,9.04,288.8,48.2,16
"11-29 08:23",62.8,8.34,291.3,46.4,16
"11-29 08:24",17.8,6.58,309.1,48.2,16
"11-29 08:25",23.6,6.53,302.5,48.2,16
"11-29 08:26",55.2,8.46,297.6,48.2,16
"11-29 08:27",57.3,8.75,293.3,48.2,16
"11-29 08:28",30.5,7.38,297,48.2,16
"11-29 08:29",22.6,6.35,292.4,48.2,16
"11-29 08:30",41.1,7.43,295.1,48.2,16
"11-29 08:31",98,10.27,295.7,48.2,16.1
"11-29 08:32",78.4,9.6,290.5,48.2,16
"11-29 08:33",77.1,10.09,282.1,48.2,16.1
"11-29 08:34",68,8.84,291.6,46.4,16.1
"11-29 08:35",64.7,9.33,291.6,46.4,16.1
"11-29 08:36",51.1,8.32,292.2,46.4,16
"11-29 08:37",44.9,8.5,292.6,48.2,16
"11-29 08:38",8.9,5.06,304.1,48.2,16
